dataset,clip,method,frames,psnr,ssim,lpips,tlpips,fid,temporal_mae,has_gt,pred_path,gt_path,eval_policy,crop_twh
wild,wild_real_lr,part3_A_rectified_flow,229,13.9390,0.8184,0.1453,0.0948,,6.4678,true,part3_exploration/outputs/direction_a_flow_matching/wild_real_lr_rectified_flow_x4.mp4,dataset/wild_real.mp4,unified_streaming_vsr_crop_minT,1280x2176
wild,wild_real_lr,part3_B_flow_stabilized,229,13.9781,0.8204,0.1439,0.0953,,6.3549,true,part3_exploration/outputs/direction_b_sd_controlnet/wild_real_lr_flow_stabilized_x4.mp4,dataset/wild_real.mp4,unified_streaming_vsr_crop_minT,1280x2176
wild,wild_real_lr,part3_B_temporal_gen_blend,229,13.8252,0.8141,0.1638,0.1229,,5.6631,true,part3_exploration/outputs/direction_b_sd_controlnet/wild_real_lr_temporal_gen_blend_x4.mp4,dataset/wild_real.mp4,unified_streaming_vsr_crop_minT,1280x2176
wild,wild_real_lr,part3_C_uncertainty_adaptive,229,13.9199,0.8169,0.1436,0.0921,,6.4898,true,part3_exploration/outputs/direction_c_uncertainty/wild_real_lr_uncertainty_adaptive_x4.mp4,dataset/wild_real.mp4,unified_streaming_vsr_crop_minT,1280x2176
wild,wild_real_lr,part3_D_streaming_distilled,229,14.0615,0.8250,0.1344,0.1022,,7.4867,true,part3_exploration/outputs/direction_d_distilled_streaming/wild_real_lr_streaming_distilled_x4.mp4,dataset/wild_real.mp4,unified_streaming_vsr_crop_minT,1280x2176
reds-sample,REDS-sample_002,part3_A_rectified_flow,100,,,,0.3780,,,false,part3_exploration/outputs/direction_a_flow_matching/REDS-sample_002_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_002,part3_B_flow_stabilized,100,,,,0.3907,,,false,part3_exploration/outputs/direction_b_sd_controlnet/REDS-sample_002_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_002,part3_B_temporal_gen_blend,100,,,,0.3818,,,false,part3_exploration/outputs/direction_b_sd_controlnet/REDS-sample_002_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_002,part3_C_uncertainty_adaptive,100,,,,0.3864,,,false,part3_exploration/outputs/direction_c_uncertainty/REDS-sample_002_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_007,part3_A_rectified_flow,100,,,,0.3763,,,false,part3_exploration/outputs/direction_a_flow_matching/REDS-sample_007_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
