clip,method,frames,psnr,ssim,lpips,temporal_mae
00001/0389,Bicubic,3,30.8175,0.8851,0.3139,4.9789
00001/0389,Real-ESRGAN,3,28.3465,0.8611,0.1732,5.1863
00001/0389,BasicVSR,3,25.8606,0.8186,0.2491,7.9184
00001/0389,Flow-Stabilized,3,28.5894,0.8659,0.1729,4.9213
00001/0402,Bicubic,3,29.7657,0.9053,0.2053,6.3785
00001/0402,Real-ESRGAN,3,27.3685,0.8728,0.1331,6.9334
00001/0402,BasicVSR,3,26.0246,0.8618,0.1688,9.1753
00001/0402,Flow-Stabilized,3,27.5420,0.8770,0.1289,6.7029
00001/0411,Bicubic,3,30.0842,0.9080,0.2753,5.1664
00001/0411,Real-ESRGAN,3,28.0845,0.8793,0.1306,5.6445
00001/0411,BasicVSR,3,25.5290,0.8479,0.2207,8.1745
00001/0411,Flow-Stabilized,3,28.3898,0.8832,0.1294,5.3291
00001/0412,Bicubic,3,26.4365,0.7892,0.3555,6.2674
00001/0412,Real-ESRGAN,3,24.3131,0.7260,0.1718,7.4859
00001/0412,BasicVSR,3,22.9077,0.7122,0.2312,9.3595
00001/0412,Flow-Stabilized,3,24.4256,0.7319,0.1701,6.9301
00001/0413,Bicubic,3,26.7309,0.8085,0.3380,11.4055
00001/0413,Real-ESRGAN,3,24.2341,0.7444,0.1731,12.6054
00001/0413,BasicVSR,3,22.5323,0.7349,0.2316,17.3671
00001/0413,Flow-Stabilized,3,24.4797,0.7524,0.1686,11.8903
00001/0415,Bicubic,3,31.4245,0.8971,0.3337,7.1858
00001/0415,Real-ESRGAN,3,28.5981,0.8587,0.1661,8.2030
00001/0415,BasicVSR,3,27.7518,0.8505,0.2491,10.3917
00001/0415,Flow-Stabilized,3,28.7373,0.8630,0.1665,8.0217
00001/0437,Bicubic,3,33.3808,0.9436,0.1515,4.2137
00001/0437,Real-ESRGAN,3,29.1846,0.8997,0.1093,4.9492
00001/0437,BasicVSR,3,29.5676,0.9155,0.1269,5.5233
00001/0437,Flow-Stabilized,3,29.3061,0.9014,0.1087,4.7081
00001/0438,Bicubic,3,29.1625,0.8889,0.2798,9.6187
00001/0438,Real-ESRGAN,3,25.7940,0.8521,0.1603,10.8280
00001/0438,BasicVSR,3,25.2615,0.8253,0.2315,13.7863
00001/0438,Flow-Stabilized,3,25.9533,0.8567,0.1588,10.6135
00001/0459,Bicubic,3,29.9097,0.9000,0.1867,5.9109
00001/0459,Real-ESRGAN,3,27.2179,0.8526,0.1239,6.5129
00001/0459,BasicVSR,3,25.1486,0.8444,0.1639,9.4824
00001/0459,Flow-Stabilized,3,27.4529,0.8582,0.1192,6.2016
00001/0461,Bicubic,3,28.3391,0.8846,0.2481,7.0092
00001/0461,Real-ESRGAN,3,25.6333,0.8395,0.1521,7.7396
00001/0461,BasicVSR,3,23.5990,0.8270,0.1800,10.5259
00001/0461,Flow-Stabilized,3,25.8924,0.8452,0.1484,7.3360
00001/0495,Bicubic,3,30.9900,0.9107,0.1778,6.5993
00001/0495,Real-ESRGAN,3,28.0420,0.8775,0.1133,7.6285
00001/0495,BasicVSR,3,26.2265,0.8557,0.1656,9.7428
00001/0495,Flow-Stabilized,3,28.3469,0.8831,0.1103,7.2505
00001/0505,Bicubic,3,30.5631,0.8970,0.3068,7.4370
00001/0505,Real-ESRGAN,3,28.8265,0.8707,0.1396,8.0649
00001/0505,BasicVSR,3,25.7373,0.8192,0.2646,10.1718
00001/0505,Flow-Stabilized,3,29.1626,0.8768,0.1334,7.8116
00001/0581,Bicubic,3,18.6757,0.5184,0.5594,18.5758
00001/0581,Real-ESRGAN,3,17.0098,0.4329,0.2844,17.1530
00001/0581,BasicVSR,3,15.4616,0.4315,0.3181,30.4238
00001/0581,Flow-Stabilized,3,17.1191,0.4377,0.2851,15.9950
00001/0600,Bicubic,3,23.4766,0.7797,0.3536,15.2417
00001/0600,Real-ESRGAN,3,22.0502,0.7463,0.1670,15.9139
00001/0600,BasicVSR,3,19.4355,0.7010,0.2241,25.0063
00001/0600,Flow-Stabilized,3,22.3338,0.7548,0.1671,15.2097
00001/0602,Bicubic,3,23.4468,0.7631,0.3703,19.0712
00001/0602,Real-ESRGAN,3,22.2580,0.7328,0.1670,18.6231
00001/0602,BasicVSR,3,19.8805,0.6890,0.2288,29.5168
00001/0602,Flow-Stabilized,3,22.4163,0.7383,0.1669,18.2639
00001/0603,Bicubic,3,27.3611,0.8754,0.2976,9.3056
00001/0603,Real-ESRGAN,3,26.8782,0.8625,0.1241,9.1901
00001/0603,BasicVSR,3,23.2129,0.8120,0.2232,14.3162
00001/0603,Flow-Stabilized,3,27.0756,0.8660,0.1250,8.8271
